iter	Accuracy	MultiClass
603	0.7905998763	0.6221389013
604	0.790847248	0.6218644537
605	0.7913419913	0.6214814086
606	0.7909709338	0.6210000308
607	0.7913419913	0.620541544
608	0.792331478	0.6200973567
609	0.792331478	0.6197567786
610	0.7927025356	0.6194293307
611	0.7928262214	0.6191475416
612	0.7935683364	0.6187329138
613	0.7936920223	0.6184312811
614	0.7941867656	0.6180787118
615	0.7944341373	0.6176612524
616	0.7949288806	0.6174437813
617	0.7951762523	0.6171320752
618	0.7956709957	0.6168956381
619	0.7956709957	0.6167069725
620	0.7960420532	0.6163557546
621	0.7956709957	0.6159928713
622	0.7966604824	0.6156699544
623	0.7960420532	0.6153891444
624	0.7966604824	0.6149129606
625	0.7970315399	0.6145880703
626	0.7976499691	0.6141734481
627	0.7986394558	0.6137711696
628	0.7983920841	0.6135049234
629	0.7980210266	0.6131935883
630	0.7986394558	0.6128161924
631	0.7986394558	0.6125676941
632	0.7990105133	0.6123039674
633	0.7998763142	0.6120027288
634	0.8	0.6117790787
635	0.8006184292	0.6114034997
636	0.8001236858	0.6110304857
637	0.8004947434	0.6108632399
638	0.8011131725	0.6105932847
639	0.8011131725	0.6102584279
640	0.8013605442	0.6098503136
641	0.8022263451	0.6095129398
642	0.8029684601	0.6092594
643	0.8021026592	0.608902886
644	0.8024737168	0.6086408318
645	0.8028447743	0.608252725
646	0.8029684601	0.6079448807
647	0.8037105751	0.6076269662
648	0.8039579468	0.6071562752
649	0.8043290043	0.606771603
650	0.804576376	0.6064864686
651	0.805318491	0.6061272908
652	0.8054421769	0.6057850513
653	0.8049474335	0.6054540146
654	0.8064316636	0.605036389
655	0.8069264069	0.6047979528
656	0.8065553494	0.60454965
657	0.8065553494	0.6043178887
658	0.8071737786	0.6040113061
659	0.8075448361	0.6036739341
660	0.8080395795	0.6032321289
661	0.8082869511	0.6028313256
662	0.8087816945	0.6025715216
663	0.8086580087	0.6022183673
664	0.8096474954	0.6019649858
665	0.8101422387	0.6017467577
666	0.8102659246	0.6014608577
667	0.8108843537	0.6011117306
668	0.8110080396	0.6007019679
669	0.8113790971	0.6004577714
670	0.8123685838	0.6000853616
671	0.8124922696	0.5998255941
672	0.8123685838	0.5995071058
673	0.8126159555	0.5992380689
674	0.8126159555	0.5990232733
675	0.8121212121	0.5987760149
676	0.8128633271	0.5984290069
677	0.8123685838	0.5982434874
678	0.8124922696	0.5979760771
679	0.8128633271	0.5977220144
680	0.8139764997	0.5973199495
681	0.8142238714	0.5969883296
682	0.8139764997	0.5966808515
683	0.8141001855	0.5964362165
684	0.8142238714	0.5961194069
685	0.8148423006	0.5958077286
686	0.8149659864	0.5955512975
687	0.8145949289	0.5953524921
688	0.8148423006	0.5951260671
689	0.8150896722	0.594852238
690	0.8153370439	0.5945320404
691	0.8154607297	0.5941245428
692	0.8154607297	0.5936752659
693	0.8154607297	0.593460026
694	0.8159554731	0.5931322165
695	0.8163265306	0.5927579291
696	0.8165739023	0.5923961504
697	0.8173160173	0.5920593144
698	0.8178107607	0.5916246418
699	0.8180581323	0.5913312325
700	0.8181818182	0.5910684894
701	0.8188002474	0.5907460226
702	0.8184291899	0.5903058801
703	0.8185528757	0.5899417671
704	0.819047619	0.5896637391
705	0.819047619	0.5892755826
706	0.8197897341	0.5889126024
707	0.8202844774	0.5885846783
708	0.8206555349	0.5883363022
709	0.8205318491	0.5879381593
710	0.8210265925	0.5876070722
711	0.8210265925	0.5872594169
712	0.8212739641	0.5869038194
713	0.82139765	0.5865377575
714	0.8220160792	0.5862189053
715	0.8223871367	0.5859005423
716	0.8226345083	0.5856331344
717	0.8227581942	0.5853822943
718	0.8223871367	0.5851709658
719	0.8226345083	0.5849117803
720	0.8226345083	0.5847335469
721	0.8227581942	0.5844433948
722	0.8232529375	0.5841900635
723	0.8233766234	0.5839526523
724	0.8239950526	0.5836926339
725	0.8242424242	0.5833417924
726	0.8246134818	0.5829716757
727	0.8249845393	0.5826926564
728	0.8249845393	0.5822975372
729	0.8252319109	0.5820374187
730	0.8256029685	0.5817467783
731	0.8258503401	0.581488856
732	0.8264687693	0.5812073031
733	0.8270871985	0.5809268866
734	0.8269635127	0.5805488516
735	0.8273345702	0.5802925615
736	0.8279529994	0.5798571424
737	0.8278293135	0.5795695058
738	0.8282003711	0.5792499075
739	0.8280766852	0.5789349642
740	0.8283240569	0.5786442881
741	0.8288188002	0.5782610468
742	0.8284477427	0.5781144133
743	0.8285714286	0.5778470667
744	0.8284477427	0.5775525371
745	0.8285714286	0.5772619628
746	0.8285714286	0.576938175
747	0.8289424861	0.5767209055
748	0.8289424861	0.576343663
749	0.8296846011	0.5761294047
750	0.8299319728	0.5758197432
751	0.8300556586	0.5756058566
752	0.8301793445	0.5753291387
753	0.830550402	0.5750283942
754	0.8309214595	0.5747206531
755	0.8309214595	0.5744173218
756	0.8307977737	0.5741804499
757	0.831292517	0.5738806143
